x,y,r
316.0,316.0,24
316.0,316.0,24
316.0,316.0,24
318.0,318.0,24
320.0,320.0,24
322.0,322.0,24
324.0,324.0,24
328.0,328.0,24
330.0,330.0,24
334.0,334.0,24
338.0,338.0,24
342.0,342.0,24
348.0,348.0,24
352.0,352.0,24
358.0,358.0,24
364.0,364.0,24
370.0,370.0,24
378.0,378.0,24
384.0,384.0,24
392.0,392.0,24
400.0,400.0,24
408.0,408.0,24
418.0,418.0,24
426.0,426.0,24
436.0,436.0,24
446.0,446.0,24
456.0,456.0,24
468.0,468.0,24
478.0,478.0,24
490.0,490.0,24
502.0,502.0,24
514.0,514.0,24
528.0,528.0,24
542.0,542.0,24
554.0,554.0,24
544.0,544.0,24
534.0,534.0,24
522.0,522.0,24
512.0,512.0,24
500.0,500.0,24
492.0,492.0,24
482.0,482.0,24
472.0,472.0,24
464.0,464.0,24
456.0,456.0,24
448.0,448.0,24
440.0,440.0,24
432.0,432.0,24
426.0,426.0,24
420.0,420.0,24
414.0,414.0,24
408.0,408.0,24
404.0,404.0,24
398.0,398.0,24
394.0,394.0,24
390.0,390.0,24
386.0,386.0,24
384.0,384.0,24
380.0,380.0,24
378.0,378.0,24
376.0,376.0,24
374.0,374.0,24
374.0,374.0,24
372.0,372.0,24
372.0,372.0,24
372.0,372.0,24
374.0,374.0,24
374.0,374.0,24
376.0,376.0,24
378.0,378.0,24
378.0,378.0,24
382.0,382.0,24
384.0,384.0,24
388.0,388.0,24
392.0,392.0,24
396.0,396.0,24
400.0,400.0,24
406.0,406.0,24
410.0,410.0,24
416.0,416.0,24
422.0,422.0,24
428.0,428.0,24
436.0,436.0,24
442.0,442.0,24
450.0,450.0,24
458.0,458.0,24
468.0,468.0,24
476.0,476.0,24
484.0,484.0,24
494.0,494.0,24
504.0,504.0,24
516.0,516.0,24
526.0,526.0,24
538.0,538.0,24
550.0,550.0,24
552.0,552.0,24
542.0,542.0,24
532.0,532.0,24
524.0,524.0,24
514.0,514.0,24
506.0,506.0,24
498.0,498.0,24
490.0,490.0,24
482.0,482.0,24
476.0,476.0,24
470.0,470.0,24
464.0,464.0,24
458.0,458.0,24
454.0,454.0,24
448.0,448.0,24
444.0,444.0,24
440.0,440.0,24
436.0,436.0,24
434.0,434.0,24
430.0,430.0,24
428.0,428.0,24
426.0,426.0,24
424.0,424.0,24
422.0,422.0,24
422.0,422.0,24
422.0,422.0,24
422.0,422.0,24
422.0,422.0,24
424.0,424.0,24
424.0,424.0,24
426.0,426.0,24
428.0,428.0,24
430.0,430.0,24
434.0,434.0,24
436.0,436.0,24
440.0,440.0,24
444.0,444.0,24
448.0,448.0,24
454.0,454.0,24
460.0,460.0,24
464.0,464.0,24
470.0,470.0,24
476.0,476.0,24
484.0,484.0,24
490.0,490.0,24
498.0,498.0,24
506.0,506.0,24
516.0,516.0,24
524.0,524.0,24
532.0,532.0,24
542.0,542.0,24
552.0,552.0,24
550.0,550.0,24
542.0,542.0,24
534.0,534.0,24
526.0,526.0,24
518.0,518.0,24
512.0,512.0,24
504.0,504.0,24
498.0,498.0,24
492.0,492.0,24
486.0,486.0,24
482.0,482.0,24
476.0,476.0,24
472.0,472.0,24
470.0,470.0,24
466.0,466.0,24
462.0,462.0,24
460.0,460.0,24
458.0,458.0,24
456.0,456.0,24
454.0,454.0,24
454.0,454.0,24
452.0,452.0,24
452.0,452.0,24
452.0,452.0,24
452.0,452.0,24
454.0,454.0,24
454.0,454.0,24
456.0,456.0,24
458.0,458.0,24
462.0,462.0,24
464.0,464.0,24
468.0,468.0,24
472.0,472.0,24
476.0,476.0,24
480.0,480.0,24
486.0,486.0,24
490.0,490.0,24
496.0,496.0,24
502.0,502.0,24
510.0,510.0,24
516.0,516.0,24
524.0,524.0,24
532.0,532.0,24
540.0,540.0,24
548.0,548.0,24
556.0,556.0,24
550.0,550.0,24
542.0,542.0,24
536.0,536.0,24
530.0,530.0,24
524.0,524.0,24
518.0,518.0,24
512.0,512.0,24
508.0,508.0,24
